gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,13.5,14.5,14.0,4.6,6.0,5.9
TP53,10.3,11.4,11.0,4.4,6.0,5.4
EGFR,10.4,10.4,9.9,7.2,6.5,7.9
MYC,13.4,14.2,13.7,8.9,8.5,8.9
KRAS,15.0,13.4,13.3,4.3,4.3,5.4
PIK3CA,13.5,13.4,13.5,8.7,7.8,7.7
PTEN,14.0,14.2,14.4,6.7,6.4,6.8
RB1,12.4,11.6,10.7,5.0,5.8,6.2
APC,14.2,13.8,13.9,5.7,6.1,6.0
BRAF,11.3,12.9,11.7,6.8,7.6,7.3
CDH1,5.8,5.3,4.0,11.2,9.9,11.7
CTNNB1,6.1,6.3,7.3,16.0,15.4,15.2
ERBB2,6.1,6.4,5.7,11.5,12.8,12.7
FGFR1,5.9,6.9,6.9,14.2,12.6,14.4
IDH1,6.2,6.6,6.5,10.3,10.5,10.0
JAK2,7.6,7.2,7.8,15.7,14.8,15.7
KIT,5.6,4.9,5.2,10.4,10.2,10.2
MAP2K1,5.8,5.5,5.6,11.9,11.5,10.5
NRAS,7.6,6.7,6.1,15.0,15.3,16.8
VHL,8.0,8.3,7.2,10.2,10.3,10.8
