gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,15.6,14.0,15.6,6.7,6.6,5.4
TP53,13.2,11.6,11.8,5.2,5.2,3.9
EGFR,15.4,15.2,15.6,4.7,4.2,4.5
MYC,11.4,10.6,9.8,6.9,6.7,6.5
KRAS,13.3,13.2,12.7,6.9,6.1,7.9
PIK3CA,11.0,12.3,11.0,7.4,8.0,7.6
PTEN,9.8,11.1,11.0,8.4,7.8,8.0
RB1,14.6,14.2,13.1,4.8,5.1,4.7
APC,15.1,14.5,15.1,7.1,8.2,6.8
BRAF,11.0,10.6,11.5,7.1,7.5,6.3
CDH1,3.0,5.0,4.8,12.5,13.6,12.8
CTNNB1,5.5,6.8,5.1,12.3,12.7,13.7
ERBB2,5.6,5.4,5.4,13.9,12.2,13.6
FGFR1,5.8,7.2,6.7,15.2,15.2,14.0
IDH1,4.4,4.9,4.6,11.3,10.5,10.7
JAK2,4.9,3.7,3.6,13.1,12.5,12.8
KIT,4.6,4.2,5.7,14.7,13.8,13.5
MAP2K1,6.1,5.9,6.4,12.1,11.9,11.4
NRAS,5.1,4.9,5.9,14.9,15.5,16.1
VHL,7.6,7.2,6.3,11.5,11.8,11.7
