gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,1032,1067,1138,473,390,435
TP53,1207,1306,1155,230,185,84
EGFR,1189,1202,1238,378,293,345
MYC,1335,1239,1322,419,338,244
KRAS,1461,1475,1362,216,98,201
PIK3CA,1874,1836,1777,95,104,147
PTEN,1258,1293,1303,283,265,271
RB1,1202,1191,1262,322,273,184
APC,1495,1476,1485,181,171,213
BRAF,1368,1311,1349,200,336,323
CDH1,30,177,27,873,882,919
CTNNB1,283,297,329,1892,1941,1843
ERBB2,561,436,451,889,954,881
FGFR1,249,211,65,1605,1536,1516
IDH1,322,290,414,1401,1377,1413
JAK2,307,261,249,1507,1692,1579
KIT,454,457,358,1292,1446,1443
MAP2K1,489,437,454,1918,1792,1885
NRAS,459,451,412,1837,1871,1900
VHL,180,176,147,1893,1727,1858
