"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFR1",568.49336293502,-2.20357018922555,0.0735751496034338,-29.9499246838461,4.40984320226526e-197,8.81968640453052e-196
"KRAS",580.308348548812,2.19182912836108,0.0808491430496488,27.1101095903403,7.48357023230398e-162,7.48357023230398e-161
"IDH1",883.615676986468,-2.23121056747367,0.0999683802963131,-22.3191629279199,2.40754816412246e-110,1.60503210941497e-109
"PIK3CA",952.688102424253,2.77519727718079,0.132525170294332,20.9409070821581,2.27094467296801e-97,1.13547233648401e-96
"KIT",853.238905446722,-2.28125500472823,0.112052042320723,-20.3588882226588,3.87271779250997e-92,1.54908711700399e-91
"CTNNB1",954.974703183385,-3.19582792463244,0.184834597625587,-17.2902041375724,5.57544818650231e-67,1.8584827288341e-66
"EGFR",1264.2493868792,2.06824939940835,0.131061459553183,15.7807597020471,4.22077180462091e-56,1.20593480132026e-55
"RB1",847.065452004139,1.67685630555121,0.109387801518287,15.3294634527495,4.85984188199099e-53,1.07996486266467e-52
"ERBB2",884.775254007408,-1.39243879396285,0.0908078646493584,-15.3339008613357,4.5389057064115e-53,1.07996486266467e-52
"APC",621.611715989858,1.92057324539934,0.131152645763468,14.6438010016441,1.47581736597651e-48,2.95163473195302e-48
"MAP2K1",930.53796844088,-1.51918074677423,0.104536147190674,-14.5325878904188,7.53202547400806e-48,1.36945917709238e-47
"MYC",781.646421949903,3.02724600817848,0.289228725655978,10.4666160019639,1.2296028015848e-25,2.04933800264133e-25
"JAK2",847.195577537698,-1.77836624254419,0.170247590799168,-10.445764513884,1.53215858383806e-25,2.35716705205856e-25
"BRAF",794.512582645664,2.12005767800752,0.217573580683522,9.74409517620298,1.95512780067284e-22,2.79303971524692e-22
"VHL",639.250708481382,-1.93536380864843,0.215141918404812,-8.99575416542879,2.34615825814452e-19,3.12821101085935e-19
"CDH1",972.386818635542,-1.56727791401029,0.179587813704629,-8.72708387991193,2.61323266411361e-18,3.19077394500372e-18
"NRAS",870.732524654697,-2.50787783094558,0.287505741965513,-8.72287911121581,2.71215785325316e-18,3.19077394500372e-18
"TP53",761.833912358455,2.82761657504493,0.325282293242912,8.69280816626972,3.53589121756816e-18,3.92876801952018e-18
"BRCA1",791.292937057689,1.256737696173,0.151542465420369,8.29297380563853,1.10451671010869e-16,1.16264916853547e-16
"PTEN",780.563364534298,1.7691619583058,0.216634388591321,8.16657950665123,3.17256337462121e-16,3.17256337462121e-16
