gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BRCA1,2317.1,2.740,0.323,8.483,2.06e-8,1.24e-5
TP53,2254.2,-1.880,0.637,-2.952,6.83e-5,1.54e-3
EGFR,2361.5,4.447,0.336,13.235,4.10e-7,1.62e-8
MYC,1493.0,-3.918,0.276,-14.197,1.39e-5,1.60e-6
KRAS,1152.4,1.909,0.451,4.232,6.62e-6,4.23e-6
PIK3CA,1344.5,-3.667,0.443,-8.278,3.18e-8,2.60e-6
PTEN,2932.8,2.507,0.463,5.414,1.43e-10,1.92e-5
RB1,2335.9,-3.178,0.699,-4.546,6.74e-4,2.47e-7
APC,2229.5,3.997,0.591,6.762,5.54e-6,3.46e-4
BRAF,2743.6,-3.867,0.604,-6.402,6.03e-4,4.18e-8
CDH1,754.4,4.449,0.501,8.879,7.22e-7,1.57e-7
CTNNB1,2948.5,-3.887,0.305,-12.743,9.03e-10,9.53e-7
ERBB2,2066.2,1.807,0.422,4.282,6.51e-10,2.44e-6
FGFR1,2588.4,-3.035,0.497,-6.106,2.94e-6,4.38e-3
IDH1,1745.9,1.605,0.480,3.343,1.56e-7,5.62e-6
JAK2,1360.5,-3.565,0.236,-15.104,1.04e-4,9.99e-6
KIT,2880.4,4.112,0.472,8.712,7.12e-8,3.78e-6
MAP2K1,1249.2,-3.407,0.470,-7.249,1.06e-8,1.96e-3
NRAS,2263.9,3.088,0.297,10.399,1.36e-8,1.14e-5
VHL,2811.8,-2.812,0.693,-4.058,2.12e-9,1.75e-5
STAT3,1205.0,3.268,0.581,5.625,1.57e-4,8.86e-7
FOXP3,990.9,-4.286,0.544,-7.878,1.42e-9,4.63e-4
IL6,2623.1,3.744,0.424,8.831,7.52e-4,6.48e-8
TNF,461.9,-2.786,0.579,-4.811,1.69e-7,5.32e-4
IFNG,3125.0,3.219,0.449,7.169,8.89e-9,1.56e-3
CD274,304.9,-2.122,0.576,-3.683,1.14e-8,1.16e-4
PDCD1,1963.0,2.796,0.262,10.670,1.06e-4,3.04e-4
CTLA4,1958.7,-2.359,0.369,-6.393,2.29e-9,1.47e-3
VEGFA,2484.3,1.639,0.270,6.070,2.51e-7,5.86e-3
FLT1,2763.1,-3.675,0.432,-8.507,3.13e-8,2.83e-7
KDR,968.5,0.364,0.508,0.717,2.60e-1,5.23e-1
TGFB1,2569.6,-0.385,0.231,-1.668,1.27e-1,4.00e-1
SMAD4,2958.7,0.069,0.485,0.143,1.44e-1,2.79e-1
NOTCH1,718.6,-0.183,0.634,-0.289,8.74e-1,3.36e-1
WNT1,1816.7,-0.246,0.206,-1.192,8.11e-1,8.88e-1
SHH,865.2,-0.112,0.470,-0.238,5.66e-1,7.01e-1
GLI1,1249.4,0.154,0.492,0.313,1.26e-1,8.89e-1
PTCH1,847.9,-0.270,0.497,-0.544,1.02e-1,1.58e-1
SMO,1395.7,-0.208,0.536,-0.387,7.79e-1,2.12e-1
SUFU,1330.4,0.194,0.601,0.322,2.11e-1,7.87e-1
AKT1,617.1,-0.323,0.433,-0.746,5.66e-1,6.86e-1
MTOR,3186.0,-0.354,0.382,-0.926,6.28e-2,7.34e-1
TSC1,1257.7,0.393,0.579,0.679,1.38e-1,6.05e-1
TSC2,2888.5,-0.239,0.276,-0.865,4.50e-1,2.54e-1
RHEB,2268.4,-0.371,0.635,-0.584,2.26e-1,8.29e-1
RPTOR,1135.8,0.339,0.513,0.661,6.73e-2,4.31e-1
RICTOR,324.5,0.198,0.385,0.514,7.74e-1,7.90e-1
EIF4E,1534.9,-0.134,0.225,-0.597,7.76e-1,4.74e-1
RPS6KB1,1262.4,0.272,0.529,0.515,6.63e-1,1.18e-1
ATM,2402.9,-0.051,0.605,-0.084,2.20e-1,8.05e-1
ATR,1915.5,-0.278,0.532,-0.523,1.71e-1,8.74e-1
CHEK1,1756.2,0.081,0.648,0.126,8.55e-1,7.56e-1
CHEK2,2227.7,0.091,0.509,0.179,9.03e-1,2.00e-1
MDM2,521.7,-0.362,0.441,-0.821,6.68e-1,9.26e-1
CDKN2A,1801.5,0.051,0.404,0.125,6.27e-1,9.57e-1
CCND1,2586.8,-0.034,0.652,-0.052,5.23e-1,9.27e-1
CDK4,1716.1,-0.346,0.454,-0.763,8.18e-1,6.75e-1
CDK6,2821.1,-0.215,0.442,-0.486,1.34e-1,2.35e-1
E2F1,1358.3,0.338,0.575,0.589,6.91e-1,8.31e-1
RBL1,1174.8,0.270,0.660,0.410,9.34e-1,9.29e-1
BCL2,2989.6,0.354,0.586,0.603,9.95e-1,6.61e-1
BAX,1091.9,0.306,0.313,0.976,7.89e-1,3.17e-1
CASP3,2189.8,0.282,0.364,0.774,5.42e-1,6.70e-1
CASP9,2480.6,-0.369,0.263,-1.403,2.87e-1,8.01e-1
CYCS,1229.4,0.033,0.380,0.086,5.68e-1,5.52e-1
APAF1,1024.6,-0.281,0.311,-0.904,3.81e-1,4.92e-1
BID,928.0,0.196,0.425,0.461,8.04e-1,9.11e-1
MCL1,3099.9,-0.287,0.651,-0.441,6.97e-1,8.65e-1
XIAP,3081.1,-0.021,0.550,-0.037,4.33e-1,3.25e-1
BIRC5,3007.7,0.245,0.492,0.498,6.92e-1,4.12e-1
TERT,269.7,0.049,0.279,0.177,9.20e-1,7.22e-1
TERC,1981.0,0.055,0.430,0.127,8.18e-1,4.00e-1
DKC1,1959.6,0.393,0.282,1.394,1.56e-1,7.49e-1
POT1,2283.0,-0.386,0.642,-0.601,7.06e-1,6.63e-1
TIN2,2842.4,-0.199,0.494,-0.402,3.29e-1,3.71e-1
RAD51,2574.4,0.007,0.588,0.012,9.59e-1,2.83e-1
BRCA2,2053.6,-0.161,0.691,-0.233,4.25e-1,2.69e-1
PALB2,2887.0,0.034,0.406,0.085,8.59e-1,9.38e-1
FANCA,2758.8,0.223,0.608,0.367,6.69e-1,7.19e-1
FANCD2,2610.2,-0.140,0.436,-0.321,2.34e-1,9.30e-1
MLH1,2807.6,-0.383,0.609,-0.629,7.21e-1,1.22e-1
MSH2,1945.1,-0.370,0.483,-0.767,6.53e-1,5.94e-1
MSH6,259.3,0.003,0.491,0.005,3.03e-1,7.04e-1
PMS2,1342.3,0.274,0.460,0.596,8.81e-2,5.89e-1
POLE,630.2,0.191,0.669,0.285,4.40e-1,7.71e-1
POLD1,298.6,0.190,0.618,0.308,9.77e-1,9.02e-1
MUTYH,1455.1,0.096,0.447,0.216,2.73e-1,7.34e-1
XPC,2664.8,0.321,0.348,0.922,5.62e-1,6.37e-1
ERCC1,3001.0,0.016,0.532,0.029,9.56e-1,5.65e-1
ERCC2,389.1,-0.275,0.436,-0.630,6.95e-1,9.22e-1
XPA,3186.3,0.194,0.483,0.401,1.60e-1,1.57e-1
DDB2,1584.7,0.301,0.672,0.448,3.16e-1,8.65e-1
XRCC1,1621.6,-0.093,0.261,-0.357,9.37e-1,6.22e-1
TOP1,2025.9,-0.104,0.641,-0.163,5.57e-1,3.71e-1
TOP2A,2255.5,-0.369,0.385,-0.958,7.03e-1,8.47e-1
TYMS,2354.4,-0.057,0.362,-0.156,9.57e-1,4.65e-1
DHFR,1770.2,0.249,0.544,0.457,6.93e-1,1.20e-1
RRM1,982.1,-0.072,0.451,-0.159,3.82e-1,6.92e-1
RRM2,1895.7,-0.193,0.489,-0.395,4.89e-1,7.96e-1
ABCB1,990.8,-0.355,0.533,-0.665,7.12e-1,3.35e-1
ABCG2,3177.3,-0.022,0.291,-0.075,4.31e-1,8.12e-1
SLC22A1,373.6,0.149,0.670,0.223,5.93e-1,4.34e-1
CYP3A4,753.4,0.351,0.643,0.546,9.26e-1,8.84e-1
UGT1A1,1690.8,0.256,0.615,0.416,5.37e-1,3.94e-1
DPYD,1019.3,0.076,0.589,0.128,1.41e-1,4.24e-1
GSTP1,917.5,0.278,0.528,0.526,3.31e-1,7.27e-1
NQO1,2987.9,0.079,0.489,0.161,9.75e-1,3.60e-1
HMOX1,1088.4,0.111,0.539,0.205,3.73e-1,3.25e-1
SOD2,1154.4,-0.191,0.421,-0.453,1.55e-1,6.81e-1
GPX1,1662.2,0.103,0.633,0.162,5.66e-1,5.17e-1
CAT,1345.1,0.046,0.263,0.176,4.95e-1,8.38e-1
NFE2L2,1935.4,0.110,0.507,0.217,7.01e-1,8.25e-1
KEAP1,416.0,0.300,0.256,1.171,8.73e-1,1.41e-1
