gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,10.4,11.5,10.3,8.1,6.7,7.4
TP53,14.3,15.7,16.2,3.9,3.8,3.6
EGFR,14.5,14.2,15.7,5.1,5.6,3.9
MYC,13.7,12.7,13.6,5.6,6.0,5.2
KRAS,11.4,10.6,10.5,6.2,5.5,6.5
PIK3CA,12.8,13.9,13.3,5.7,4.6,5.0
PTEN,15.3,15.3,15.4,5.9,7.4,5.9
RB1,14.8,14.1,15.2,6.7,7.5,7.7
APC,9.7,10.5,9.9,4.6,6.4,4.9
BRAF,16.5,15.2,15.2,5.5,5.8,3.9
CDH1,5.7,6.4,5.1,11.9,11.9,11.5
CTNNB1,7.0,7.1,6.5,11.3,10.4,9.7
ERBB2,4.7,5.3,5.2,12.0,10.8,10.4
FGFR1,6.8,6.9,7.7,11.6,12.5,11.4
IDH1,3.4,4.6,3.9,11.2,12.9,12.2
JAK2,5.1,6.9,6.2,12.9,12.3,11.5
KIT,4.6,6.2,4.4,12.6,13.4,12.3
MAP2K1,5.4,6.9,5.4,14.9,14.6,13.6
NRAS,5.7,5.1,6.1,13.4,13.7,14.6
VHL,5.7,4.6,5.1,11.8,11.9,11.7
