gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,14.3,13.7,14.1,7.4,6.8,6.2
TP53,15.0,15.3,14.3,5.0,4.8,5.4
EGFR,11.1,11.4,10.3,5.4,4.6,3.5
MYC,13.4,14.3,13.6,5.5,5.0,6.0
KRAS,12.6,13.3,12.1,7.1,7.8,6.3
PIK3CA,11.9,12.1,11.6,5.3,4.2,4.2
PTEN,13.4,13.0,14.3,4.2,4.7,3.7
RB1,13.0,13.7,13.4,5.0,4.9,3.7
APC,12.4,12.3,12.9,3.9,4.2,5.2
BRAF,13.6,12.4,12.9,5.8,5.2,6.1
CDH1,6.8,6.9,6.5,12.0,11.5,11.5
CTNNB1,7.5,8.3,6.9,12.8,12.7,12.7
ERBB2,8.1,7.7,7.6,12.7,12.9,12.1
FGFR1,6.1,5.4,6.1,12.1,12.2,12.7
IDH1,6.3,5.8,5.9,9.8,10.3,10.3
JAK2,7.8,7.1,8.6,10.5,11.0,10.7
KIT,4.7,3.3,4.3,10.6,9.9,10.6
MAP2K1,7.0,7.1,8.6,12.1,11.8,11.7
NRAS,3.7,4.8,4.2,16.2,15.0,16.0
VHL,7.0,6.9,5.3,10.8,12.1,10.6
