gene,sample_A1,sample_A2,sample_A3,sample_B1,sample_B2,sample_B3
BRCA1,1034,1045,1156,319,222,140
TP53,1756,1653,1759,143,74,185
EGFR,1764,1749,1707,324,467,387
MYC,1973,2011,1908,248,174,136
KRAS,816,985,920,436,348,449
PIK3CA,1086,1028,1107,158,79,167
PTEN,1184,1102,1079,404,474,389
RB1,968,1001,1015,145,179,138
APC,916,823,986,398,366,463
BRAF,1246,1357,1276,371,376,378
CDH1,357,328,416,1080,1198,1201
CTNNB1,191,79,209,1864,1814,1992
ERBB2,229,164,89,1089,1136,1269
FGFR1,286,425,444,2010,1952,1980
IDH1,308,231,140,1435,1520,1436
JAK2,216,193,238,1940,2016,1858
KIT,560,424,553,953,950,795
MAP2K1,449,507,364,1196,1221,1310
NRAS,158,80,75,1232,1253,1375
VHL,151,133,146,1117,980,1057
