gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
JAK2,1091.8791947651862,3.2617800179688277,0.09223327121355308,35.36446203254179,6.010039304926599e-274,1.20200786098532e-272
VHL,605.1818147116861,2.9674839654713927,0.12019909433657436,24.688072583658744,1.4364760317146298e-134,1.4364760317146297e-133
RB1,555.9063285847901,-2.6028815781729446,0.14552344495378852,-17.886338376606595,1.5069098143712846e-71,1.0046065429141898e-70
CDH1,767.7996101331273,1.7572201851963485,0.11744335556628198,14.962278425403293,1.2951482013923165e-50,6.475741006961583e-50
MYC,1038.262781103151,-3.3205637735951625,0.23340978626916714,-14.226326267939353,6.290042163978499e-46,2.5160168655913996e-45
BRAF,813.1924962635907,-1.6986996807660202,0.12853801661658373,-13.215542961372076,7.1369453848159044e-40,2.378981794938635e-39
FGFR1,1195.9925442404067,2.4516511344097247,0.2081852393977688,11.776296636119726,5.171570655831876e-32,1.4775916159519645e-31
NRAS,707.6500283557199,3.718380866996965,0.3216556409577505,11.560129509699394,6.560976323342825e-31,1.640244080835706e-30
EGFR,1036.2695318242834,-2.0580514497741187,0.18241195947538447,-11.282437049045802,1.6024423614466706e-29,3.560983025437046e-29
CTNNB1,1040.7580686591318,3.683447728664992,0.3316995071818184,11.104772991555697,1.1891913857929317e-28,2.3783827715858634e-28
TP53,894.2860005953863,-3.587062649257104,0.3448298944846441,-10.402412049042468,2.4173529860344137e-25,4.395187247335297e-25
PTEN,753.917206943896,-1.3210423055751521,0.1336814135689878,-9.882019274829206,4.981873554155352e-23,8.30312259025892e-23
PIK3CA,583.3062412377234,-2.9009556374309406,0.30344107477990323,-9.560194312965404,1.1753581737621684e-21,1.8082433442494898e-21
IDH1,856.5902737805751,2.7724020458317913,0.32114966763538144,8.632741444962196,5.989872999048865e-18,8.556961427212665e-18
ERBB2,673.3379134958367,2.938140792359263,0.3726154593246202,7.885182213547328,3.140768844964681e-15,4.187691793286241e-15
APC,643.3284142478823,-1.05382951615325,0.13875014896530113,-7.595159529643414,3.074134769762675e-14,3.842668462203344e-14
MAP2K1,847.6796121155088,1.5780358065294413,0.20908878898361502,7.547204296319791,4.447007320746369e-14,5.23177331852514e-14
BRCA1,631.4507006966869,-2.166522612217684,0.29330861137967923,-7.386495070931229,1.5074973507249315e-13,1.6749970563610352e-13
KIT,702.5466808082316,0.9068814714681387,0.12455418859620777,7.281019463810709,3.3130687329007635e-13,3.487440771474488e-13
KRAS,646.3852158781169,-1.055008910652845,0.18543758688483292,-5.6892937854506505,1.2756583597111184e-08,1.2756583597111184e-08
